text,text_raw,label
vulnerability in integer multiplication emulation code on sparc architectures for sunos 4.1 through 4.1.2 allows local users to gain root access or cause a denial of service (crash).,Vulnerability in integer multiplication emulation code on SPARC architectures for SunOS 4.1 through 4.1.2 allows local users to gain root access or cause a denial of service (crash).,Alta
vulnerability in monitor utility (sys$share:spishr.exe) in vms 5.0 through 5.4-2 allows local users to gain privileges.,Vulnerability in Monitor utility (SYS$SHARE:SPISHR.EXE) in VMS 5.0 through 5.4-2 allows local users to gain privileges.,Alta
"cisco ios 9.1 and earlier does not properly handle extended ip access lists when the ip route cache is enabled and the ""established"" keyword is set, which could allow attackers to bypass filters.","Cisco IOS 9.1 and earlier does not properly handle extended IP access lists when the IP route cache is enabled and the ""established"" keyword is set, which could allow attackers to bypass filters.",Alta
"vulnerability in cisco routers versions 8.2 through 9.1 allows remote attackers to bypass access control lists when extended ip access lists are used on certain interfaces, the ip route cache is enabled, and the access list uses the ""established"" keyword.","Vulnerability in Cisco routers versions 8.2 through 9.1 allows remote attackers to bypass access control lists when extended IP access lists are used on certain interfaces, the IP route cache is enabled, and the access list uses the ""established"" keyword.",Alta
"nfs on sunos 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit uid, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the nfs jumbo patch upgrade.","NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade.",Alta
hp ypbind allows attackers with root privileges to modify nis data.,HP ypbind allows attackers with root privileges to modify NIS data.,Média
sun sunos 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.,Sun SunOS 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.,Alta
vulnerability in finger in commodore amiga unix 2.1p2a and earlier allows local users to read arbitrary files.,Vulnerability in finger in Commodore Amiga UNIX 2.1p2a and earlier allows local users to read arbitrary files.,Baixa
"vulnerability in dec openvms vax 5.5-2 through 5.0, and openvms axp 1.0, allows local users to gain system privileges.","Vulnerability in DEC OpenVMS VAX 5.5-2 through 5.0, and OpenVMS AXP 1.0, allows local users to gain system privileges.",Alta
"cisco routers 9.17 and earlier allow remote attackers to bypass security restrictions via certain ip source routed packets that should normally be denied using the ""no ip source-route"" command.","Cisco routers 9.17 and earlier allow remote attackers to bypass security restrictions via certain IP source routed packets that should normally be denied using the ""no ip source-route"" command.",Alta
vulnerability in passwd in sco unix 4.0 and earlier allows attackers to cause a denial of service by preventing users from being able to log into the system.,Vulnerability in passwd in SCO UNIX 4.0 and earlier allows attackers to cause a denial of service by preventing users from being able to log into the system.,Média
vulnerabilities in umn gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,Alta
"login.exe program in novell netware 4.0 and 4.01 temporarily writes user name and password information to disk, which could allow local users to gain privileges.","LOGIN.EXE program in Novell Netware 4.0 and 4.01 temporarily writes user name and password information to disk, which could allow local users to gain privileges.",Média
"sco unix system v/386 release 3.2, and other sco products, installs the home directories (1) /tmp for the dos user, and (2) /usr/tmp for the asg user, which allows other users to gain access to those accounts since /tmp and /usr/tmp are world-writable.","SCO UNIX System V/386 Release 3.2, and other SCO products, installs the home directories (1) /tmp for the dos user, and (2) /usr/tmp for the asg user, which allows other users to gain access to those accounts since /tmp and /usr/tmp are world-writable.",Alta
"/usr/5bin/su in sunos 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via trojan horse programs.","/usr/5bin/su in SunOS 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via Trojan horse programs.",Alta
"sendmail wiz command enabled, allowing root access.","Sendmail WIZ command enabled, allowing root access.",Alta
"the permissions for the /dev/audio device on solaris 2.2 and earlier, and sunos 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone.","The permissions for the /dev/audio device on Solaris 2.2 and earlier, and SunOS 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone.",Baixa
"in solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.","In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.",Alta
"the wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands.","The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands.",Média
vulnerability in subnetconfig in hp-ux 9.01 and 9.0 allows local users to gain privileges.,Vulnerability in subnetconfig in HP-UX 9.01 and 9.0 allows local users to gain privileges.,Média
extra long export lists over 256 characters in some mount daemons allows nfs directories to be mounted by anyone.,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.,Média
aix licensed program product performance tools allow local users to gain root access.,AIX Licensed Program Product performance tools allow local users to gain root access.,Alta
sun/solaris utmp file allows local users to gain root access if it is writable by users other than root.,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,Alta
"vulnerability in vue 3.0 in hp 9.x allows local users to gain root privileges, as fixed by phss_4994 and phss_5438.","Vulnerability in VUE 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4994 and PHSS_5438.",Alta
vulnerability in glance and gpm programs in glanceplus for hp-ux 9.x and earlier allows local users to access arbitrary files and gain privileges.,Vulnerability in Glance and gpm programs in GlancePlus for HP-UX 9.x and earlier allows local users to access arbitrary files and gain privileges.,Alta
passwd in sunos 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -f command line argument.,passwd in SunOS 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -F command line argument.,Média
"vulnerability in vue 3.0 in hp 9.x allows local users to gain root privileges, as fixed by phss_4038, phss_4055, and phss_4066.","Vulnerability in Vue 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4038, PHSS_4055, and PHSS_4066.",Alta
cwe: cwe-88 | some implementations of rlogin allow root access if given a -froot parameter.,cwe: cwe-88 | Some implementations of rlogin allow root access if given a -froot parameter.,Alta
vulnerability in hpterm on hp-ux 10.20 allows local users to gain additional privileges.,Vulnerability in hpterm on HP-UX 10.20 allows local users to gain additional privileges.,Média
aix batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.,AIX batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.,Alta
"remote attacker can execute commands through majordomo using the reply-to field and a ""lists"" command.","Remote attacker can execute commands through Majordomo using the Reply-To field and a ""lists"" command.",Alta
"hp-ux 9.x does not properly enable the xauthority mechanism in certain conditions, which could allow local users to access the x display even when they have not explicitly been authorized to do so.","HP-UX 9.x does not properly enable the Xauthority mechanism in certain conditions, which could allow local users to access the X display even when they have not explicitly been authorized to do so.",Média
"dpsexec (dps server) when running under xdm in ibm aix 3.2.5 and earlier does not properly check privileges, which allows local users to overwrite arbitrary files and gain privileges.","dpsexec (DPS Server) when running under XDM in IBM AIX 3.2.5 and earlier does not properly check privileges, which allows local users to overwrite arbitrary files and gain privileges.",Alta
"colorview in silicon graphics irix 5.1, 5.2, and 6.0 allows local attackers to read arbitrary files via the -text argument.","colorview in Silicon Graphics IRIX 5.1, 5.2, and 6.0 allows local attackers to read arbitrary files via the -text argument.",Baixa
"vulnerability in sgihelp in the sgi help system and print manager in irix 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command.","Vulnerability in sgihelp in the SGI help system and print manager in IRIX 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command.",Alta
vulnerability in core-diag fileset in hp message catalog in hp-ux 9.05 and earlier allows local users to gain privileges.,Vulnerability in CORE-DIAG fileset in HP message catalog in HP-UX 9.05 and earlier allows local users to gain privileges.,Média
"serial_ports administrative program in irix 4.x and 5.x trusts the user's path environmental variable to find and execute the ls program, which allows local users to gain root privileges via a trojan horse ls program.","serial_ports administrative program in IRIX 4.x and 5.x trusts the user's PATH environmental variable to find and execute the ls program, which allows local users to gain root privileges via a Trojan horse ls program.",Média
vulnerability in support watch (aka supportwatch) in hp-ux 8.0 through 9.0 allows local users to gain privileges.,Vulnerability in Support Watch (aka SupportWatch) in HP-UX 8.0 through 9.0 allows local users to gain privileges.,Média
unspecified vulnerability in pt_chmod in sco unix 4.2 and earlier allows local users to gain root access.,Unspecified vulnerability in pt_chmod in SCO UNIX 4.2 and earlier allows local users to gain root access.,Alta
vulnerability in prwarn in sco unix 4.2 and earlier allows local users to gain root access.,Vulnerability in prwarn in SCO UNIX 4.2 and earlier allows local users to gain root access.,Alta
vulnerability in login in sco unix 4.2 and earlier allows local users to gain root access.,Vulnerability in login in SCO UNIX 4.2 and earlier allows local users to gain root access.,Alta
"vulnerability in ""at"" program in sco unix 4.2 and earlier allows local users to gain root access.","Vulnerability in ""at"" program in SCO UNIX 4.2 and earlier allows local users to gain root access.",Alta
rpc.lockd in red hat linux 6.1 and 6.2 allows remote attackers to cause a denial of service via a malformed request.,rpc.lockd in Red Hat Linux 6.1 and 6.2 allows remote attackers to cause a denial of service via a malformed request.,Média
predictable tcp sequence numbers allow spoofing.,Predictable TCP sequence numbers allow spoofing.,Média
buffer overflow in ncsa webserver (version 1.5c) gives remote access.,Buffer overflow in NCSA WebServer (version 1.5c) gives remote access.,Alta
buffer overflow in ncsa webserver (1.4.1 and below) gives remote access.,Buffer overflow in NCSA WebServer (1.4.1 and below) gives remote access.,Alta
remote attackers can access mail files via pop3 in some linux systems that are using shadow passwords.,Remote attackers can access mail files via POP3 in some Linux systems that are using shadow passwords.,Alta
vulnerability in bsd telnet client with encryption and kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,Vulnerability in BSD Telnet client with encryption and Kerberos 4 authentication allows remote attackers to decrypt the session via sniffing.,Média
sgi desktop permissions tool in irix 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.,SGI Desktop Permissions Tool in IRIX 6.0.1 and earlier allows local users to modify permissions for arbitrary files and gain privileges.,Média
"the satan session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.","The SATAN session key may be disclosed if the user points the web browser to other sites, possibly allowing root access.",Alta
"rmmount in sunos 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of sunos, which could allow local users with physical access to gain root privileges by mounting a floppy or cd-rom that contains a setuid program and running volcheck, when the file systems do not have the nosuid option specified in rmmount.conf.","rmmount in SunOS 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of SunOS, which could allow local users with physical access to gain root privileges by mounting a floppy or CD-ROM that contains a setuid program and running volcheck, when the file systems do not have the nosuid option specified in rmmount.conf.",Alta
anyform cgi remote execution.,AnyForm CGI remote execution.,Alta
"in cisco ios 10.3, with the tacacs-ds or tacacs keyword, an extended ip access control list could bypass filtering.","In Cisco IOS 10.3, with the tacacs-ds or tacacs keyword, an extended IP access control list could bypass filtering.",Alta
formmail cgi program allows remote execution of commands.,FormMail CGI program allows remote execution of commands.,Alta
"in sendmail, attackers can gain root privileges via smtp by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.","In Sendmail, attackers can gain root privileges via SMTP by specifying an improper ""mail from"" address and an invalid ""rcpt to"" address that would cause the mail to bounce to a program.",Alta
"sunos sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the ifs (internal field separator) variable and passing crafted values to the -or option.","SunOS sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable and passing crafted values to the -oR option.",Alta
a race condition in the solaris ps command allows an attacker to overwrite critical files.,A race condition in the Solaris ps command allows an attacker to overwrite critical files.,Média
the ghostscript command with the -dsafer option allows remote attackers to execute commands.,The ghostscript command with the -dSAFER option allows remote attackers to execute commands.,Alta
"some configurations of nis+ in linux allowed attackers to log in as the user ""+"".","Some configurations of NIS+ in Linux allowed attackers to log in as the user ""+"".",Média
livingston portmaster machines could be rebooted via a series of commands.,Livingston portmaster machines could be rebooted via a series of commands.,Média
"telnet allows a remote client to specify environment variables including ld_library_path, allowing an attacker to bypass the normal system libraries and gain root access.","Telnet allows a remote client to specify environment variables including LD_LIBRARY_PATH, allowing an attacker to bypass the normal system libraries and gain root access.",Alta
buffer overflow in syslog utility allows local or remote attackers to gain root privileges.,Buffer overflow in syslog utility allows local or remote attackers to gain root privileges.,Alta
"guessable magic cookies in x windows allows remote attackers to execute commands, e.g. through xterm.","Guessable magic cookies in X Windows allows remote attackers to execute commands, e.g. through xterm.",Alta
"certain configurations of wu-ftp ftp server 2.4 use a _path_execpath setting to a directory with dangerous commands, such as /bin, which allows remote authenticated users to gain root access via the ""site exec"" command.","Certain configurations of wu-ftp FTP server 2.4 use a _PATH_EXECPATH setting to a directory with dangerous commands, such as /bin, which allows remote authenticated users to gain root access via the ""site exec"" command.",Alta
race condition in linux mailx command allows local users to read user files.,Race condition in Linux mailx command allows local users to read user files.,Baixa
buffer overflow in linux splitvt command gives root access to local users.,Buffer overflow in Linux splitvt command gives root access to local users.,Alta
vhe_u_mnt program in hp-ux allows local users to create root files through symlinks.,vhe_u_mnt program in HP-UX allows local users to create root files through symlinks.,Alta
rpc.ypupdated (nis) allows remote users to execute arbitrary commands.,rpc.ypupdated (NIS) allows remote users to execute arbitrary commands.,Alta
"rxvt, when compiled with the print_pipe option in various linux operating systems including linux slackware 3.0 and redhat 2.1, allows local users to gain root privileges by specifying a malicious program using the -print-pipe command line parameter.","rxvt, when compiled with the PRINT_PIPE option in various Linux operating systems including Linux Slackware 3.0 and RedHat 2.1, allows local users to gain root privileges by specifying a malicious program using the -print-pipe command line parameter.",Alta
vulnerability in object server program in sgi irix 5.2 through 6.1 allows remote attackers to gain root privileges in certain configurations.,Vulnerability in object server program in SGI IRIX 5.2 through 6.1 allows remote attackers to gain root privileges in certain configurations.,Alta
"abuse.console in red hat 2.1 uses relative pathnames to find and execute the undrv program, which allows local users to execute arbitrary commands via a path that points to a trojan horse program.","abuse.console in Red Hat 2.1 uses relative pathnames to find and execute the undrv program, which allows local users to execute arbitrary commands via a path that points to a Trojan horse program.",Alta
"echo and chargen, or other combinations of udp services, can be used in tandem to flood the server, a.k.a. udp bomb or udp packet storm.","Echo and chargen, or other combinations of UDP services, can be used in tandem to flood the server, a.k.a. UDP bomb or UDP packet storm.",Média
kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,Kerberos 4 key servers allow a user to masquerade as another by breaking and generating session keys.,Média
iis 1.0 allows users to execute arbitrary commands using .bat or .cmd files.,IIS 1.0 allows users to execute arbitrary commands using .bat or .cmd files.,Alta
the java applet security manager implementation in netscape navigator 2.0 and java developer's kit 1.0 allows an applet to connect to arbitrary hosts.,The Java Applet Security Manager implementation in Netscape Navigator 2.0 and Java Developer's Kit 1.0 allows an applet to connect to arbitrary hosts.,Alta
cwe: cwe-78 | phf cgi program allows remote command execution through shell metacharacters.,cwe: cwe-78 | phf CGI program allows remote command execution through shell metacharacters.,Alta
java bytecode verifier allows malicious applets to execute arbitrary commands as the user of the applet.,Java Bytecode Verifier allows malicious applets to execute arbitrary commands as the user of the applet.,Baixa
test-cgi program allows an attacker to list files on the server.,test-cgi program allows an attacker to list files on the server.,Média
dxconsole in dec osf/1 3.2c and earlier allows local users to read arbitrary files by specifying the file with the -file parameter.,dxconsole in DEC OSF/1 3.2C and earlier allows local users to read arbitrary files by specifying the file with the -file parameter.,Média
"pcnfsd (aka rpc.pcnfsd) allows local users to change file permissions, or execute arbitrary commands through arguments in the rpc call.","pcnfsd (aka rpc.pcnfsd) allows local users to change file permissions, or execute arbitrary commands through arguments in the RPC call.",Baixa
"delete or create a file via rpc.statd, due to invalid information.","Delete or create a file via rpc.statd, due to invalid information.",Média
"vulnerability in union file system in freebsd 2.2 and earlier, and possibly other operating systems, allows local users to cause a denial of service (system reload) via a series of certain mount_union commands.","Vulnerability in union file system in FreeBSD 2.2 and earlier, and possibly other operating systems, allows local users to cause a denial of service (system reload) via a series of certain mount_union commands.",Baixa
manual page reader (man) in freebsd 2.2 and earlier allows local users to gain privileges via a sequence of commands.,Manual page reader (man) in FreeBSD 2.2 and earlier allows local users to gain privileges via a sequence of commands.,Média
the permissions for a system-critical nis+ table (e.g. passwd) are inappropriate.,The permissions for a system-critical NIS+ table (e.g. passwd) are inappropriate.,Alta
"cwe: cwe-94 | perl, sh, csh, or other shell interpreters are installed in the cgi-bin directory on a www site, which allows remote attackers to execute arbitrary commands.","cwe: cwe-94 | Perl, sh, csh, or other shell interpreters are installed in the cgi-bin directory on a WWW site, which allows remote attackers to execute arbitrary commands.",Alta
"nettune in hp-ux 10.01 and 10.00 is installed setuid root, which allows local users to cause a denial of service by modifying critical networking configuration information.","nettune in HP-UX 10.01 and 10.00 is installed setuid root, which allows local users to cause a denial of service by modifying critical networking configuration information.",Baixa
"vulnerability in a kernel error handling routine in sco openserver 5.0.2 and earlier, and sco internet faststart 1.0, allows local users to gain root privileges.","Vulnerability in a kernel error handling routine in SCO OpenServer 5.0.2 and earlier, and SCO Internet FastStart 1.0, allows local users to gain root privileges.",Alta
"the suidperl and sperl program do not give up root privileges when changing uids back to the original users, allowing root access.","The suidperl and sperl program do not give up root privileges when changing UIDs back to the original users, allowing root access.",Alta
the convert.bas program in the novell web server allows a remote attackers to read any file on the system that is internally accessible by the web server.,The convert.bas program in the Novell web server allows a remote attackers to read any file on the system that is internally accessible by the web server.,Média
"cwe: cwe-125 | local user gains root privileges via buffer overflow in rdist, via expstr() function.","cwe: cwe-125 | Local user gains root privileges via buffer overflow in rdist, via expstr() function.",Alta
the dip program on many linux systems allows local users to gain root access via a buffer overflow.,The dip program on many Linux systems allows local users to gain root access via a buffer overflow.,Alta
"a design flaw in the z-modem protocol allows the remote sender of a file to execute arbitrary programs on the client, as implemented in rz in the rzsz module of freebsd before 2.1.5, and possibly other programs.","A design flaw in the Z-Modem protocol allows the remote sender of a file to execute arbitrary programs on the client, as implemented in rz in the rzsz module of FreeBSD before 2.1.5, and possibly other programs.",Alta
"cpio on freebsd 2.1.0, debian gnu/linux 3.0, and possibly other operating systems, uses a 0 umask when creating files using the -o (archive) or -f options, which creates the files with mode 0666 and allows local users to read or overwrite those files.","cpio on FreeBSD 2.1.0, Debian GNU/Linux 3.0, and possibly other operating systems, uses a 0 umask when creating files using the -O (archive) or -F options, which creates the files with mode 0666 and allows local users to read or overwrite those files.",Baixa
"local user gains root privileges via buffer overflow in rdist, via lookup() function.","Local user gains root privileges via buffer overflow in rdist, via lookup() function.",Alta
admintool in solaris allows a local user to write to arbitrary files and gain root access.,admintool in Solaris allows a local user to write to arbitrary files and gain root access.,Alta
kodak color management system (kcms) on solaris allows a local user to write to arbitrary files and gain root access.,Kodak Color Management System (KCMS) on Solaris allows a local user to write to arbitrary files and gain root access.,Alta
"solaris 2.4 before kernel jumbo patch -35 allows set-gid programs to dump core even if the real user id is not in the set-gid group, which allows local users to overwrite or create files at higher privileges by causing a core dump, e.g. through dmesg.","Solaris 2.4 before kernel jumbo patch -35 allows set-gid programs to dump core even if the real user id is not in the set-gid group, which allows local users to overwrite or create files at higher privileges by causing a core dump, e.g. through dmesg.",Média
vold in solaris 2.x allows local users to gain root access.,vold in Solaris 2.x allows local users to gain root access.,Alta
fm_fls license server for adobe framemaker allows local users to overwrite arbitrary files and gain root access.,fm_fls license server for Adobe Framemaker allows local users to overwrite arbitrary files and gain root access.,Baixa
"expreserve, as used in vi and ex, allows local users to overwrite arbitrary files and gain root access.","Expreserve, as used in vi and ex, allows local users to overwrite arbitrary files and gain root access.",Baixa
buffer overflow in rwhod on aix and other operating systems allows remote attackers to execute arbitrary code via a udp packet with a long hostname.,Buffer overflow in rwhod on AIX and other operating systems allows remote attackers to execute arbitrary code via a UDP packet with a long hostname.,Alta
